Cod_Estab,measure_L,measure_M
06-02-0060-43,0.262,-0.426
06-02-0060-43,1.132,0.688
06-02-0060-43,1.908,1.204
06-02-0060-43,3.52,0.254
06-02-0004-43,0.075,0.122
06-02-0004-43,0.305,0.378
06-02-0060-43,1.454,1.062
06-02-0004-43,1.007,0.775
06-02-0043-43,0.42,-1.176
06-02-0043-43,1.542,0.526
06-02-0043-43,1.32,0.254
06-02-0043-43,0.305,0.385
06-02-0060-43,1.191,1.218
06-02-0060-43,0.305,-0.014
06-02-0004-43,0.885,0.526
06-02-0043-43,0.885,0.433
06-02-0043-43,1.007,1.081
06-02-0004-43,2.038,0.394
06-02-0060-43,-0.162,0.305
06-02-0043-43,0.715,-0.154
06-02-0060-43,1.595,1.307
06-02-0004-43,0.948,-0.754
06-02-0004-43,1.746,-0.088
06-02-0043-43,1.454,-0.138
06-02-0043-43,0.948,0.633
06-02-0060-43,1.262,0.525
06-02-0060-43,1.454,-0.014
06-02-0060-43,2.775,1.041
06-02-0004-43,1.191,0.526
06-02-0004-43,1.746,0.763
06-02-0060-43,1.007,0.378
06-02-0004-43,-0.335,-0.754
06-02-0043-43,1.746,0.12
06-02-0043-43,1.595,0.394
06-02-0043-43,0.534,0.893
06-02-0060-43,0.191,-0.43
06-02-0060-43,0.534,0.261
06-02-0043-43,1.454,1.218
06-02-0043-43,0.83,0.656
06-02-0060-43,1.746,-0.138
06-02-0004-43,0.191,0.433
06-02-0043-43,0.885,-0.43
06-02-0004-43,1.908,-0.288
06-02-0004-43,-0.605,0.249
06-02-0060-43,1.32,-0.088
06-02-0043-43,1.132,0.656
06-02-0004-43,1.132,0.261
06-02-0043-43,2.238,1.456
06-02-0060-43,2.085,0.921
06-02-0004-43,1.859,0.688
06-02-0043-43,2.238,0.526
06-02-0043-43,0.147,-0.581
06-02-0043-43,1.32,0.433
06-02-0043-43,0.948,-0.519
06-02-0043-43,0.885,0.128
06-02-0043-43,0.948,0.775
06-02-0060-43,0.031,0.128
06-02-0060-43,1.859,0.394
06-02-0004-43,1.454,0.656
06-02-0060-43,1.542,0.893
06-02-0004-43,-0.412,0.249
06-02-0004-43,1.908,0.046
06-02-0004-43,0.42,-0.918
06-02-0060-43,1.32,1.062
06-02-0060-43,1.694,1.204
06-02-0004-43,1.746,0.0
06-02-0004-43,1.007,0.254
06-02-0060-43,0.601,0.433
06-02-0060-43,3.068,1.041
06-02-0004-43,-0.162,-1.685
06-02-0004-43,0.948,-0.43
06-02-0004-43,0.766,0.396
06-02-0004-43,0.948,-0.611
06-02-0060-43,0.948,-0.012
06-02-0060-43,2.038,1.057
06-02-0060-43,2.238,0.921
06-02-0060-43,1.454,2.411
06-02-0043-43,-0.209,-0.007
06-02-0004-43,0.305,-0.581
06-02-0060-43,0.649,0.787
06-02-0004-43,-0.042,-0.288
06-02-0004-43,1.859,-0.369
06-02-0043-43,3.068,1.062
06-02-0060-43,3.52,1.964
