,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace
15752,22-03-0191-43,1.32,0.907,D540WGL,8,1,1,1,1,1,0,1.9943746518215177,1.108546427372155,-1.8964699877412325
15753,22-03-0191-43,0.075,-3.42,D588WAA,5,1,1,0,0,0,0,0.11331674158076804,-4.179965580609449,3.172349494829526
15754,22-03-0191-43,-0.087,0.046,D697YPA,6,1,1,1,0,0,0,-0.13144742023369094,0.05622175927135516,0.351081019060058
15755,22-03-0191-43,0.262,0.394,D795HXJ,9,1,1,1,1,1,1,0.3958531505888164,0.4815515902807377,-0.32255524786267575
15756,22-03-0191-43,1.007,1.027,D834WKI,8,1,1,1,1,1,0,1.5214661169577788,1.2552118863409074,-1.6656300788839986
15757,22-03-0191-43,0.488,0.787,D877ILB,3,0,0,0,0,0,0,0.7373142652188641,0.9618809684034024,-0.9036149471379948
15758,22-03-0191-43,0.534,0.177,D958DFY,6,1,1,1,0,0,0,0.8068152000550686,0.21633155197891005,-0.42577545486629764
15759,22-03-1478-43,1.007,-0.226,D984IPC,7,1,1,1,1,0,0,0.5912592677431716,-0.25243067527139884,0.05804872249733396
15760,22-03-0191-43,0.191,-0.611,E094QIS,7,1,1,1,1,0,0,0.2885799685590226,-0.7467716285825652,0.6215803316620422
15761,22-03-0191-43,0.305,0.921,E460DZQ,9,1,1,1,1,1,1,0.46082141576179003,1.125657397585176,-0.823804941782491
15762,22-03-0191-43,0.031,0.688,E528RXA,9,1,1,1,1,1,1,0.046837586520050795,0.8408819647541814,-0.3296760202178189
15763,22-03-1478-43,2.085,-0.43,E648VLD,6,1,1,1,0,0,0,1.2242061303321874,-0.48028845295000666,-0.22860261247821156
15764,22-03-0191-43,-0.911,-0.912,E698VGD,8,1,1,1,1,1,0,-1.3764206877343959,-1.1146574881625197,2.0593646984893406
15765,22-03-0191-43,-0.209,-0.279,E763SCB,3,0,0,0,0,0,0,-0.31577598653840694,-0.3409971921023498,0.7622452236486292
15766,22-03-0191-43,-0.087,-0.426,E798EJT,9,1,1,1,1,1,1,-0.13144742023369094,-0.5206623793390717,0.758858869938434
15767,22-03-0191-43,-0.991,-0.007,E947ZXD,6,1,1,1,0,0,0,-1.4972918787538818,-0.008555485106510568,1.363000842677747
15768,07-11-0281-43,-0.209,0.261,C017ICV,4,1,0,0,0,0,0,-0.3404606674023637,0.5268125390390838,0.16628366697711372
