,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace,LastGrade_aux,y_pred,PrecisionLastGrade_4,RecallLastGrade_4,F1LastGrade_4,predLastGrade_4,PrecisionLastGrade_5,RecallLastGrade_5,F1LastGrade_5,predLastGrade_5,PrecisionLastGrade_6,RecallLastGrade_6,F1LastGrade_6,predLastGrade_6,PrecisionLastGrade_7,RecallLastGrade_7,F1LastGrade_7,predLastGrade_7,PrecisionLastGrade_8,RecallLastGrade_8,F1LastGrade_8,predLastGrade_8,PrecisionLastGrade_9,RecallLastGrade_9,F1LastGrade_9,predLastGrade_9
54,17-11-0351-43,0.885,0.56,D146RJB,3,0,0,0,0,0,0,0.548632656676481,1.4529568680595266,-1.1242357510904701,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
55,03-08-0141-43,1.068,-0.519,C216BZH,3,0,0,0,0,0,0,1.0153519902823196,-0.9349271249605237,0.27325271777768495,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
56,05-06-0320-43,-0.467,-0.611,C416XJQ,3,0,0,0,0,0,0,-0.3830871404258783,-0.6709743665603077,1.0524306249584185,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
57,03-08-0141-43,0.601,-0.369,C318AJS,3,0,0,0,0,0,0,0.5713731705614925,-0.664716973237829,0.38627577415405967,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
58,08-02-0113-43,0.488,0.122,C922EAZ,3,0,0,0,0,0,0,0.5633490956445077,0.17575648778910644,-0.213918048086228,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
59,03-01-0043-43,-0.209,-0.279,C718NFY,3,0,0,0,0,0,0,-0.22269181356897635,-0.4150125626528518,0.7567624958710735,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
60,17-11-0346-43,0.534,-0.519,D650DWK,3,0,0,0,0,0,0,0.9813001263634249,-0.6326268630900677,0.07898042662794941,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
61,16-12-0045-43,-0.752,-3.342,C843LBS,3,0,0,0,0,0,0,-0.7816225790747875,-2.490506191861336,2.640095876626625,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
62,05-06-0310-43,0.601,1.494,C871NDS,3,0,0,0,0,0,0,0.7456462981097451,2.8238937374843354,-2.2488865414101795,0,1,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,1,0.54,0.14,0.22,1
63,18-01-0106-43,-1.084,0.526,C512YHY,3,0,0,0,0,0,0,-1.3957268234666207,1.0020058123446882,0.5486357542882988,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
